Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
30/09/2013,33.7,33.99,33.43,33.94,,4532381,153110678,,,
31/08/2013,33.1,33.3,32.76,32.76,,8047289,265818788,,,
31/07/2013,34.24,34.25,33.32,33.91,,6908197,233332142,,,
30/06/2013,33.34,33.56,31.98,32.16,,7939871,257459092,,,
31/05/2013,36.1,36.33,35.59,36.08,,5219675,187926232,,,
30/04/2013,34.7,35.7,34.6,34.91,,27655597,970039575,,,
31/03/2013,30.56,31.07,30.32,30.42,,6888698,211336986,,,
28/02/2013,35.23,35.58,34.77,35.09,,5892101,206885947,,,
31/01/2013,37.89,38.54,37.12,38.21,,15949076,605214040,,,
31/12/2012,33.2,33.34,32.7,32.95,,2449359,80768990,,,
30/11/2012,33.76,34.24,33.71,33.94,,4359376,148242524,,,
31/10/2012,34.95,35.56,34.85,34.97,,7342847,258551679,,,
30/09/2012,31.49,31.58,30.66,30.75,,6069471,188393748,,,
31/08/2012,26.88,28.55,26.88,28.28,,9293094,260128911,,,
31/07/2012,24.85,25.99,24.32,24.88,,10704628,267500604,,,
30/06/2012,28.05,28.74,27.61,28.5,,11772418,332544707,,,
31/05/2012,28.75,29.2,28.64,29.09,,7585800,219891676,,,
30/04/2012,33.57,33.66,32.78,32.87,,6226946,206064156,,,
31/03/2012,37.3,37.43,36.75,37.31,,6053635,225088978,,,
29/02/2012,35.24,35.88,35.04,35.06,,9141590,324308178,,,
31/01/2012,32.66,32.94,31.97,32.39,,6805092,221245936,,,
31/12/2011,29.29,29.44,28.91,29.44,,2545960,74305038,,,
30/11/2011,26.46,28.93,26.3,28.62,,14006154,393688697,,,
31/10/2011,32.43,32.48,30.03,30.35,,12880537,399399988,,,
30/09/2011,27.59,27.69,25.86,26.32,,13004581,345083145,,,
31/08/2011,27.53,28.54,27.31,28.25,,9462776,265563712,,,
31/07/2011,37.69,38.75,37.57,38.52,,6332306,241344936,,,
30/06/2011,40.38,40.84,40.01,40.75,,6198565,251347407,,,
31/05/2011,41.01,41.63,41.01,41.42,,5984403,247834465,,,
30/04/2011,43.99,44.22,43.6,44.1,,4725323,207941744,,,
31/03/2011,42,42.09,41.49,41.49,,6007136,250333386,,,
28/02/2011,46.16,46.87,45.5,46.58,,6866948,318046024,,,
31/01/2011,43.37,43.51,42.35,43.17,,6147687,264279170,,,
