Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
31/10/2006,97.5,98.78,97.06,98.61,,5141365,504003993,,,
30/09/2006,95,95.81,94.96,95.16,,3128220,298703668,,,
31/08/2006,89.35,89.53,88.66,89.15,,3133409,279294597,,,
31/07/2006,91.15,91.3,90.11,90.25,,3262191,295439776,,,
30/06/2006,88.1,88.67,87.08,88,,4891488,429810631,,,
31/05/2006,87.2,89.77,86.6,89.55,,38372173,3403743864,,,0
30/04/2006,96.57,97.71,95.65,97.32,,3524928,342157488,,,0
31/03/2006,94.25,94.93,93.69,94.25,,2962307,279510401,,,
28/02/2006,94.28,94.58,92.26,92.45,,4335639,405028184,,,
31/01/2006,87.22,88.79,87.2,88.38,,4125891,363344444,,,
31/12/2005,82.3,82.42,81.31,81.9,,1506534,123238022,,,0
30/11/2005,83.59,83.74,82.95,83.13,,3421350,285140192,,,
31/10/2005,77.12,78.38,77.05,78.13,,5375903,419159561,,,
30/09/2005,78.47,78.5,77.5,77.82,,2896260,225739404,,,
31/08/2005,69.7,70.33,69.32,70.22,,3804311,266490403,,,
31/07/2005,71.95,72.28,71.32,71.5,,3404582,244633972,,,
30/06/2005,64.05,64.95,64.05,64.71,,2903694,187735102,,,
31/05/2005,63.62,63.75,63.13,63.18,,4079445,258330417,,,
30/04/2005,64.4,64.73,62.76,63.06,,0,,,,0
31/03/2005,66.75,66.91,66.33,66.55,,0,,,,0
28/02/2005,67.08,67.44,66.3,66.3,,0,,,,0
31/01/2005,64.89,65.39,64.64,65.25,,0,,,,0
31/12/2004,65.31,65.58,65.27,65.32,,0,,,,0
30/11/2004,64.35,64.72,64.05,63.75,,0,,,,0
31/10/2004,59.3,59.93,58.86,59.59,,0,,,,0
30/09/2004,58.63,58.88,57.86,57.87,,0,,,,0
31/08/2004,56,56.4,55.56,55.89,,0,,,,0
31/07/2004,57.97,58.09,56.65,57.75,,0,,,,0
30/06/2004,65.44,65.8,64.55,64.58,,0,,,,0
31/05/2004,64.01,64.87,64.01,64.81,,0,,,,0
30/04/2004,69,69.13,67.9,68.75,,0,,,,0
31/03/2004,67.43,68.45,67.21,67.65,,0,,,,0
29/02/2004,69.79,69.9,69,69,,0,,,,0
31/01/2004,64,64,62.54,62.9,,0,,,,0
31/12/2003,64.99,66.04,64.82,65.7,,0,,,,0
30/11/2003,57.71,58.41,57.1,58.16,,0,,,,0
31/10/2003,57.07,57.07,55.81,56.74,,0,,,,0
30/09/2003,53.3,53.69,51.2,52.25,,0,,,,0
31/08/2003,53.55,53.78,51.86,52.64,,0,,,,0
31/07/2003,57.85,58.15,56.42,57.63,,0,,,,0
30/06/2003,56.3,57.47,55.55,56.48,,0,,,,0
31/05/2003,49.01,51.16,48.96,49.8,,0,,,,0
30/04/2003,45.88,46.69,45.13,46.34,,0,,,,0
31/03/2003,38.75,39.5,38.04,38.5,,0,,,,0
28/02/2003,36.99,38.58,36.67,37.7,,0,,,,0
31/01/2003,38.39,39.87,37.55,39.48,,0,,,,0
31/12/2002,42.81,44.14,42.8,43.9,,0,,,,0
30/11/2002,51.41,52.99,50.27,50.4,,0,,,,0
31/10/2002,41,44.91,40.85,44.1,,0,,,,0
30/09/2002,47.22,47.83,45.56,46.05,,0,,,,0
31/08/2002,61.97,63.4,60.65,63.19,,0,,,,0
31/07/2002,61.09,63.49,57.5,58.12,,0,,,,0
30/06/2002,70,70.45,69.31,70.4,,0,,,,0
31/05/2002,74.8,77.25,74.65,77.25,,0,,,,0
30/04/2002,71.25,73.8,70.7,73.6,,0,,,,0
31/03/2002,73.6,74.03,73.05,73.94,,0,,,,0
28/02/2002,66.88,68.86,66.7,67.9,,0,,,,0
31/01/2002,69.48,72.5,69.4,72.12,,0,,,,0
31/12/2001,79.45,80.35,79.21,79.4,,0,,,,0
30/11/2001,72.55,72.97,71.63,72,,0,,,,0
31/10/2001,59.35,62.47,58.25,61.79,,0,,,,0
30/09/2001,58.2,60.2,57.91,60.2,,0,,,,0
31/08/2001,75.51,76.62,75.1,75.9,,0,,,,0
31/07/2001,,,,79.94,,0,,,,0
30/06/2001,,,,84.64,,0,,,,0
31/05/2001,,,,90.1,,0,,,,0
30/04/2001,,,,92,,0,,,,0
31/03/2001,,,,86.4,,0,,,,0
28/02/2001,,,,89.71,,0,,,,0
31/01/2001,,,,104.6,,0,,,,0
31/12/2000,,,,89.51,,0,,,,0
30/11/2000,,,,82.9,,0,,,,0
31/10/2000,,,,96.48,,0,,,,0
30/09/2000,,,,93.7,,0,,,,0
31/08/2000,,,,98,,0,,,,0
31/07/2000,,,,96.25,,0,,,,0
30/06/2000,,,,86.2,,0,,,,0
31/05/2000,,,,82.65,,0,,,,0
30/04/2000,,,,73.9,,0,,,,0
31/03/2000,,,,69.2,,0,,,,0
29/02/2000,,,,88,,0,,,,0
31/01/2000,,,,77,,0,,,,0
